Bates College B,Colby B,3

Bates College B,Brandeis B,1

Colby B,Brandeis B,6

Bates College,Emerson,10

Colby,Emerson,11

Bates College,Colby,5

Emerson,Bates College B,5

Bates College,Colby B,13

Colby,Brandeis B,11

