source,target,weight
Maryland,Massachusetts,8
Maryland,Clemson,12
Maryland,Alabama,12
Maryland,Ohio,15
Appalachian State,Maryland,11
Appalachian State,North Carolina State,6
Appalachian State,Virginia,6
Appalachian State,North Carolina,2
Appalachian State,Liberty,13
Appalachian State,East Carolina,10
Appalachian State,South Carolina,11
Appalachian State,Clemson,10
Appalachian State,Charleston,13
Appalachian State,Wake Forest,11
Appalachian State,Duke,8
Appalachian State,Florida State,9
Appalachian State,Temple,8
Appalachian State,Tennessee,9
Appalachian State,Anderson,10
Appalachian State,Georgia,13
Appalachian State,North Carolina-Charlotte,9
Appalachian State,Georgia College,12
Appalachian State,Georgia Southern,13
Appalachian State,Carleton Hot Karls,13
Appalachian State,California-San Diego,13
Appalachian State,Middlebury,8
Appalachian State,Luther,14
Appalachian State,Dartmouth,13
Appalachian State,Ohio State,6
Appalachian State,Auburn,5
Appalachian State,Notre Dame,15
North Carolina-Wilmington,Liberty,13
North Carolina-Wilmington,James Madison,13
North Carolina-Wilmington,William & Mary,8
North Carolina-Wilmington,North Carolina State,11
North Carolina-Wilmington,Maryland,15
North Carolina-Wilmington,Charleston,11
North Carolina-Wilmington,Clemson,11
North Carolina-Wilmington,Wake Forest,11
North Carolina-Wilmington,Duke,11
North Carolina-Wilmington,Georgia Tech,13
North Carolina-Wilmington,Tennessee,10
North Carolina-Wilmington,Georgetown,10
North Carolina-Wilmington,North Carolina,10
North Carolina-Wilmington,Notre Dame,15
North Carolina-Wilmington,Emory,15
North Carolina-Wilmington,Georgia,13
North Carolina-Wilmington,Carnegie Mellon,13
North Carolina-Wilmington,Northeastern,8
North Carolina-Wilmington,Massachusetts,7
North Carolina-Wilmington,Tufts,11
North Carolina-Wilmington,Pittsburgh,4
North Carolina-Wilmington,Northwestern,11
North Carolina-Wilmington,Harvard,9
North Carolina-Wilmington,Virginia,9
North Carolina-Wilmington,Chicago,12
North Carolina-Wilmington,Auburn,12
North Carolina-Wilmington,Ohio,10
Liberty,North Carolina-Wilmington,5
Liberty,William & Mary,7
Liberty,James Madison,5
Liberty,Appalachian State,11
Liberty,East Carolina,13
Liberty,George Mason,12
Liberty,Virginia,6
Liberty,George Washington,8
Liberty,Virginia Commonwealth,12
Liberty,NYU,9
Liberty,RIT,11
Liberty,Lehigh,8
Liberty,Penn State,7
Liberty,Williams,12
Liberty,Davidson,13
Liberty,Mary Washington,9
Liberty,American,13
Liberty,Rutgers,10
Liberty,North Carolina,11
Liberty,Wake Forest,13
Liberty,Brandeis,9
Liberty,Drexel University,15
William & Mary,James Madison,12
William & Mary,Liberty,13
William & Mary,North Carolina-Wilmington,11
William & Mary,Johns Hopkins,11
William & Mary,Georgetown,13
William & Mary,South Carolina,0
William & Mary,North Carolina State,6
William & Mary,Virginia,11
William & Mary,North Carolina,7
William & Mary,Virginia Tech,11
William & Mary,Radford,15
William & Mary,Tufts,9
William & Mary,Northwestern,12
William & Mary,Pittsburgh,9
William & Mary,Minnesota,8
William & Mary,Maryland,12
William & Mary,Cedarville,0
William & Mary,Cornell,11
William & Mary,Wake Forest,8
William & Mary,Drexel University,13
William & Mary,Tennessee-Chattanooga,15
William & Mary,Vermont,14
William & Mary,SUNY-Binghamton,15
William & Mary,East Carolina,13
William & Mary,Connecticut,11
William & Mary,Williams,13
William & Mary,Michigan,13
William & Mary,Penn State,15
William & Mary,Richmond,14
James Madison,William & Mary,10
James Madison,North Carolina-Wilmington,4
James Madison,Liberty,13
James Madison,South Carolina,12
James Madison,Virginia,10
James Madison,Duke,13
James Madison,Maryland,7
James Madison,George Washington,10
James Madison,Delaware,10
James Madison,North Carolina State,13
James Madison,North Carolina,7
James Madison,Virginia Tech,14
James Madison,George Mason,15
James Madison,Virginia Commonwealth,15
James Madison,Rutgers,11
James Madison,Johns Hopkins,7
James Madison,Connecticut,14
James Madison,Georgetown,12
James Madison,Villanova,10
James Madison,Pennsylvania,10
James Madison,Purdue,7
James Madison,Georgia Southern,13
James Madison,Vermont,9
James Madison,New Hampshire,11
James Madison,Tennessee-Chattanooga,9
James Madison,Wake Forest,8
James Madison,High Point,10
James Madison,Cedarville,5
James Madison,Davidson,10
James Madison,Williams,10
James Madison,Case Western Reserve,7
James Madison,Mary Washington,15
James Madison,Drexel University,15
James Madison,Lehigh,13
James Madison,Michigan,6
James Madison,Princeton,11
James Madison,SUNY-Geneseo,7
James Madison,North Carolina-Charlotte,5
James Madison,Drexel,13
South Carolina,Georgetown,14
South Carolina,North Carolina,8
South Carolina,Virginia Tech,10
South Carolina,Maryland,13
South Carolina,James Madison,13
South Carolina,William & Mary,12
South Carolina,American,15
South Carolina,East Carolina,11
South Carolina,North Carolina-Charlotte,11
South Carolina,Appalachian State,8
South Carolina,Virginia,11
South Carolina,North Carolina State,8
South Carolina,Notre Dame,10
South Carolina,Clemson,12
South Carolina,Emory,15
South Carolina,Richmond,15
South Carolina,Tufts,13
South Carolina,Tennessee,12
South Carolina,Georgia,13
South Carolina,Massachusetts,8
South Carolina,Pittsburgh,8
South Carolina,South Florida,13
South Carolina,Charleston,13
South Carolina,North Carolina-Asheville,13
South Carolina,Middlebury,15
South Carolina,Carleton College-GoP,15
South Carolina,Texas A&M,12
South Carolina,Illinois State,12
South Carolina,Alabama-Huntsville,13
South Carolina,Rutgers,10
South Carolina,Northeastern,6
South Carolina,Florida State,13
South Carolina,LSU,10
South Carolina,Kennesaw State,12
South Carolina,High Point,12
South Carolina,Wake Forest,13
South Carolina,Cedarville,9
Georgetown,South Carolina,13
Georgetown,Virginia Tech,11
Georgetown,North Carolina,8
Georgetown,William & Mary,6
Georgetown,Virginia,12
Georgetown,Duke,9
Georgetown,American,15
Georgetown,Salisbury,11
Georgetown,Maryland-Baltimore County,12
Georgetown,Maryland,6
Georgetown,Johns Hopkins,11
Georgetown,Towson,11
Georgetown,Delaware,5
Georgetown,George Washington,6
Georgetown,Penn State,8
Georgetown,Middlebury,6
Georgetown,Connecticut,10
Georgetown,James Madison,11
Georgetown,Christopher Newport,10
Georgetown,Pennsylvania,7
Georgetown,Shenandoah,0
Georgetown,Tennessee,15
Georgetown,Georgia Tech,10
Georgetown,North Carolina-Wilmington,5
Georgetown,Temple,14
Georgetown,New Hampshire,15
Georgetown,Elon,13
Georgetown,Case Western Reserve,8
Georgetown,Vermont,7
Georgetown,Indiana,15
Georgetown,Williams,14
Georgetown,East Carolina,12
Georgetown,Cornell,15
Virginia Tech,North Carolina,11
Virginia Tech,Georgetown,15
Virginia Tech,South Carolina,11
Virginia Tech,Johns Hopkins,8
Virginia Tech,American,15
Virginia Tech,Delaware,15
Virginia Tech,George Washington,4
Virginia Tech,Virginia,15
Virginia Tech,North Carolina State,13
Virginia Tech,William & Mary,13
Virginia Tech,James Madison,10
Virginia Tech,Radford,13
Virginia Tech,Virginia Commonwealth,13
Virginia Tech,George Mason,15
Virginia Tech,Harvard,13
Virginia Tech,Carleton College-CUT,7
Virginia Tech,Georgia,10
Virginia Tech,Auburn,12
Virginia Tech,Northwestern,12
Virginia Tech,Florida State,9
Virginia Tech,Wisconsin,13
Virginia Tech,Central Florida,6
Virginia Tech,Texas A&M,5
Virginia Tech,Boston College,13
Virginia Tech,Alabama-Huntsville,8
Virginia Tech,Temple,12
Virginia Tech,Kansas,12
Virginia Tech,South Florida,11
Virginia Tech,Kentucky,13
Virginia Tech,Maryland,15
Virginia Tech,Cornell,13
Virginia Tech,Cedarville,4
Virginia Tech,North Carolina-Charlotte,13
Virginia Tech,Penn State,11
Virginia Tech,SUNY-Buffalo,13
Davidson,High Point,12
Davidson,Navy,15
Davidson,Mary Washington,7
Davidson,Richmond,13
Davidson,Elon,12
Davidson,North Carolina-Asheville,10
Davidson,Anderson,13
Davidson,Campbell,10
Davidson,Ohio State,13
Davidson,Messiah,10
Davidson,Wesleyan,12
Davidson,Shippensburg,13
Davidson,Florida Tech,12
Davidson,Rensselaer Polytech,9
Davidson,Air Force,9
Davidson,Middlebury,6
Davidson,Georgia College,13
Davidson,Missouri S&T,8
Davidson,James Madison,12
Davidson,Williams,15
Davidson,Liberty,9
Davidson,North Carolina,13
Davidson,Tennessee-Chattanooga,9
Davidson,Case Western Reserve,10
High Point,Davidson,6
High Point,Mary Washington,6
High Point,Navy,7
High Point,North Carolina-Asheville,4
High Point,Christopher Newport,12
High Point,Campbell,10
High Point,Elon,7
High Point,Anderson,11
High Point,Xavier,13
High Point,Berry,13
High Point,Florida Tech,13
High Point,Oberlin,7
High Point,Boston College,10
High Point,Central Florida,14
High Point,Northwestern,9
High Point,Embry-Riddle Florida,10
High Point,Florida State,6
High Point,Virginia,11
High Point,South Carolina,11
High Point,James Madison,9
High Point,Wake Forest,12
High Point,Maryland,11
Mary Washington,High Point,12
Mary Washington,Davidson,5
Mary Washington,North Carolina-Asheville,12
Mary Washington,Christopher Newport,13
Mary Washington,Shenandoah,13
Mary Washington,St Mary's Maryland,13
Mary Washington,Richmond,15
Mary Washington,SUNY-Binghamton,10
Mary Washington,American,13
Mary Washington,MIT,9
Mary Washington,Middlebury,11
Mary Washington,Rutgers,11
Mary Washington,Villanova,12
Mary Washington,Penn State,11
Mary Washington,Georgia College,12
Mary Washington,Oberlin,10
Mary Washington,Elon,12
Mary Washington,Florida Tech,14
Mary Washington,Missouri S&T,13
Mary Washington,Anderson,12
Mary Washington,Virginia Commonwealth,13
Mary Washington,North Carolina,15
Mary Washington,Vermont,5
Mary Washington,Tennessee-Chattanooga,10
Mary Washington,James Madison,12
Mary Washington,Liberty,15
Navy,Davidson,6
Navy,High Point,13
Navy,Richmond,7
Navy,Elon,15
Navy,Catholic,13
Navy,Roanoke,13
Navy,Christopher Newport,15
Navy,Xavier,11
Navy,Georgia College,11
Navy,Franciscan,10
Navy,Air Force,11
Navy,Berry,5
Navy,North Carolina-Asheville,4
Navy,West Virginia,15
Navy,Dickinson,10
Navy,College of New Jersey,12
Navy,Slippery Rock,11
Navy,Stevens Tech,0
Navy,Cedarville,10
Navy,Lehigh,6
Navy,Salisbury,8
Navy,Brandeis,5
Navy,East Carolina,9
Navy,Towson,15
North Carolina-Asheville,Christopher Newport,13
North Carolina-Asheville,Elon,11
North Carolina-Asheville,Richmond,6
North Carolina-Asheville,Mary Washington,13
North Carolina-Asheville,High Point,13
North Carolina-Asheville,Davidson,7
North Carolina-Asheville,Campbell,13
North Carolina-Asheville,Anderson,12
North Carolina-Asheville,Charleston,13
North Carolina-Asheville,South Florida,9
North Carolina-Asheville,Georgia,13
North Carolina-Asheville,South Carolina,5
North Carolina-Asheville,Chicago,11
North Carolina-Asheville,Georgia Southern,12
North Carolina-Asheville,Florida Atlantic,14
North Carolina-Asheville,Messiah,11
North Carolina-Asheville,Middlebury,10
North Carolina-Asheville,Oberlin,11
North Carolina-Asheville,Franciscan,8
North Carolina-Asheville,Samford,13
North Carolina-Asheville,Navy,11
Christopher Newport,North Carolina-Asheville,11
Christopher Newport,Richmond,6
Christopher Newport,Elon,8
Christopher Newport,Mary Washington,1
Christopher Newport,High Point,10
Christopher Newport,St Mary's Maryland,13
Christopher Newport,Shenandoah,13
Christopher Newport,Navy,3
Christopher Newport,Catholic,13
Christopher Newport,Georgetown,13
Christopher Newport,Pennsylvania,15
Christopher Newport,American,11
Christopher Newport,George Washington,13
Christopher Newport,RIT,8
Christopher Newport,East Carolina,11
Christopher Newport,Virginia Commonwealth,4
Christopher Newport,West Chester,3
Christopher Newport,Lehigh,11
Christopher Newport,Wake Forest,15
Richmond,Elon,12
Richmond,Christopher Newport,15
Richmond,North Carolina-Asheville,15
Richmond,Davidson,5
Richmond,Navy,15
Richmond,Luther,10
Richmond,Valparaiso,11
Richmond,Bowdoin,9
Richmond,Middlebury,11
Richmond,Missouri S&T,13
Richmond,Roanoke,13
Richmond,Catholic,13
Richmond,Mary Washington,7
Richmond,Carleton College-GoP,9
Richmond,Duke,12
Richmond,North Carolina,4
Richmond,Temple,11
Richmond,South Carolina,4
Richmond,Shippensburg,12
Richmond,Ohio State,13
Richmond,Wesleyan,12
Richmond,Franciscan,13
Richmond,Samford,13
Richmond,Oberlin,12
Richmond,Air Force,11
Richmond,Georgia College,9
Richmond,George Mason,12
Richmond,George Washington,13
Richmond,Lehigh,13
Richmond,SUNY-Binghamton,13
Richmond,Vermont,8
Richmond,Williams,15
Richmond,Tennessee-Chattanooga,9
Richmond,William & Mary,16
Elon,Richmond,8
Elon,North Carolina-Asheville,9
Elon,Christopher Newport,15
Elon,Davidson,10
Elon,Navy,13
Elon,Anderson,10
Elon,High Point,11
Elon,Campbell,12
Elon,Tennessee,9
Elon,Case Western Reserve,5
Elon,New Hampshire,8
Elon,Georgetown,8
Elon,George Mason,13
Elon,Dayton,15
