Id, Division, Region
Sul Ross State University,Division III,South Central

Montana,Division I,Northwest

Georgia College,Division III,Southeast

SUNY-Stony Brook,Division I,Metro East

Kennesaw State,Division I,Southeast

Wisconsin-Eau Claire,Division I,North Central

George Mason,Division I,Atlantic Coast

Colorado School of Mines,Division III,South Central

Georgia Southern,Division I,Southeast

Colby,Division III,New England

American,Division I,Atlantic Coast

Arkansas,Division I,South Central

Missouri State,Division I,South Central

Drexel,Division I,Ohio Valley

Union (Tennessee),Division III,Southeast

Catholic,Division III,Atlantic Coast

Elon,Division III,Atlantic Coast

Saint Louis,Division I,South Central

Kansas State,Division I,South Central

Colorado State B,Division I,South Central

Troy,Division I,Southeast

North Georgia,Division III,Southeast

RIT,Division I,Metro East

Boise State,Division I,Northwest

Trinity,Division III,South Central

Oklahoma Christian,Division III,South Central

Carleton College Karls,Division III,North Central

Sam Houston State,Division I,South Central

Stevens Tech,Division III,Metro East

Akron,Division I,Ohio Valley

Maine,Division I,New England

Florida Gulf Coast,Division I,Southeast

Samford,Division III,Southeast

St. Thomas,Division III,North Central

Stephen F. Austin,Division I,South Central

Wake Forest,Division I,Atlantic Coast

Rhode Island,Division I,New England

Ithaca,Division III,Metro East

Christopher Newport,Division III,Atlantic Coast

Toledo,Division I,Ohio Valley

Texas B,Division I,South Central

Baylor,Division I,South Central

New Hampshire,Division I,New England

Towson,Division I,Atlantic Coast

Whitworth,Division III,Northwest

East Carolina,Division I,Atlantic Coast

West Chester,Division I,Ohio Valley

Caltech,Division III,Southwest

Massachusetts-Lowell,Division I,New England

Washington University B,Division I,South Central

Campbell,Division III,Atlantic Coast

NYU,Division I,Metro East

Rowan,Division I,Metro East

Creighton,Division I,North Central

Denison,Division III,Ohio Valley

Northern Iowa,Division I,North Central

MIT,Division I,New England

Haverford,Division III,Ohio Valley

Southern Methodist,Division I,South Central

Stetson,Division III,Southeast

Grinnell,Division III,North Central

Mississippi,Division I,Southeast

Colorado-Mesa,Division I,South Central

Cal State-Fullerton,Division I,Southwest

Knox,Division III,Great Lakes

Salisbury,Division I,Atlantic Coast

Texas State B,Division I,South Central

Colorado-Denver,Division I,South Central

College of New Jersey,Division III,Metro East

San Jose State,Division I,Southwest

Butler,Division III,Great Lakes

Texas-San Antonio,Division I,South Central

Allegheny,Division III,Ohio Valley

Columbia,Division I,Metro East

St John's,Division III,North Central

Wooster,Division III,Ohio Valley

Olivet Nazarene,Division III,Great Lakes

Charleston,Division I,Atlantic Coast

Wisconsin-Oshkosh,Division I,North Central

West Virginia,Division I,Ohio Valley

Slippery Rock,Division I,Ohio Valley

Arkansas State,Division I,South Central

Belmont University,Division III,Southeast

North Florida,Division I,Southeast

Long Beach State University B,Division I,Southwest

Fresno State,Division I,Southwest

