Date,Home Team,Away Team,Home Score,Away Score
Sun 4/28,Butler,Olivet Nazarene,7,14
Sun 4/28,Wheaton,Rose,12,8
4/28/2019,Valparaiso,Olivet Nazarene,13,4
4/28/2019,Valparaiso,Butler,13,10
4/28/2019,Knox,Olivet Nazarene,6,11
4/28/2019,Valparaiso,Rose,15,1
4/28/2019,Butler,North Park,12,11
4/28/2019,Knox,Wheaton,10,6
4/28/2019,Olivet Nazarene,Eastern Illinois,15,3
4/28/2019,Rose,Wheaton,4,9
4/28/2019,Rose,North Park,10,8
4/28/2019,Wheaton,Eastern Illinois,13,7
4/28/2019,Butler,Knox,5,7
4/28/2019,North Park,Eastern Illinois,0,0
Date,Home Team,Away Team,Home Score,Away Score
Sun 4/28,Syracuse,SUNY,12,10
Sun 4/28,Rutgers,SUNY,13,6
Sun 4/28,Rutgers,Syracuse,13,5
Sun 4/28,SUNY,SUNY,11,9
Sun 4/28,Connecticut,SUNY,13,8
Sun 4/28,Connecticut,SUNY,13,5
Sun 4/28,RIT,SUNY,10,12
Sun 4/28,Cornell,SUNY,13,8
Sun 4/28,Cornell,RIT,10,13
Sun 4/28,Princeton,NYU,11,12
Sun 4/28,Yale,NYU,12,9
Sun 4/28,Yale,Princeton,12,9
5/4/2019,Rutgers,Connecticut,15,14
5/4/2019,Rutgers,Yale,15,8
5/4/2019,Cornell,Connecticut,11,12
4/28/2019,SUNY,Rutgers,6,15
4/28/2019,Yale,RIT,15,12
4/28/2019,NYU,Cornell,8,15
4/28/2019,Connecticut,Syracuse,15,9
4/28/2019,SUNY,SUNY,11,15
4/28/2019,RIT,SUNY,15,9
4/28/2019,NYU,SUNY,14,12
4/28/2019,Syracuse,Princeton,14,13
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,SUNY,SUNY,11,7
Sat 4/27,Marist,SUNY,15,2
Sat 4/27,Marist,SUNY,15,6
Sat 4/27,SUNY,Stevens Tech,9,11
Sat 4/27,Hamilton,Stevens Tech,13,8
Sat 4/27,Hamilton,SUNY,12,6
Sat 4/27,Colgate,Rensselaer Polytech,11,7
Sat 4/27,Wesleyan,Rensselaer Polytech,15,5
Sat 4/27,Wesleyan,Colgate,6,9
Sat 4/27,Ithaca,Rochester,12,10
Sat 4/27,Army,Rochester,12,4
Sat 4/27,Army,Ithaca,12,6
4/28/2019,Marist,Hamilton,14,15
4/28/2019,Marist,Wesleyan,16,15
4/28/2019,Colgate,Hamilton,12,15
4/28/2019,Marist,Stevens Tech,15,10
4/28/2019,Wesleyan,Army,15,12
4/28/2019,Colgate,Ithaca,13,8
4/28/2019,Rochester,Hamilton,6,14
4/27/2019,Stevens Tech,Rensselaer Polytech,10,9
4/27/2019,Wesleyan,SUNY,15,1
4/27/2019,SUNY,Ithaca,4,13
4/27/2019,Rochester,SUNY,11,8
4/28/2019,Wesleyan,Colgate,0,0
4/28/2019,Stevens Tech,Rochester,13,9
4/28/2019,Stevens Tech,Army,1,0
4/28/2019,Ithaca,Rochester,9,10
4/28/2019,Army,Ithaca,0,0
4/28/2019,Rensselaer Polytech,SUNY,9,6
4/28/2019,Rensselaer Polytech,SUNY,9,8
4/28/2019,SUNY,SUNY,7,11
4/28/2019,SUNY,SUNY,3,5
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Brown,Vermont,13,7
Sat 4/27,Northeastern,MIT,13,4
Sat 4/27,Boston College,Massachusetts,13,10
Sat 4/27,Brown,Northeastern,13,6
Sat 4/27,Vermont,Boston College,12,11
Sat 4/27,MIT,Massachusetts,13,9
Sat 4/27,Brown,Boston College,13,2
Sat 4/27,Northeastern,Massachusetts,13,3
Sat 4/27,Vermont,MIT,11,9
Sat 4/27,Brown,Massachusetts,13,4
Sat 4/27,Northeastern,Vermont,13,10
Sat 4/27,Boston College,MIT,10,12
Sun 4/28,Northeastern,Boston College,13,4
Sun 4/28,Vermont,Massachusetts,13,5
Sun 4/28,Brown,MIT,13,6
Sat 4/27,Massachusetts,Tufts,10,9
Sat 4/27,Harvard,New Hampshire,13,11
Sat 4/27,Dartmouth,Tufts,13,4
Sat 4/27,Massachusetts,Harvard,13,5
Sat 4/27,Tufts,Dartmouth,13,7
Sat 4/27,New Hampshire,Tufts,13,11
Sat 4/27,Massachusetts,Dartmouth,13,5
Sat 4/27,Harvard,Tufts,13,4
Sat 4/27,Tufts,New Hampshire,13,1
Sat 4/27,Massachusetts,Tufts,13,4
Sat 4/27,Harvard,Tufts,5,13
Sat 4/27,Dartmouth,New Hampshire,13,1
Sun 4/28,Massachusetts,New Hampshire,13,10
Sun 4/28,Harvard,Dartmouth,11,13
Sun 4/28,Tufts,Tufts,13,5
4/28/2019,Brown,Northeastern,15,9
4/28/2019,Brown,Tufts,15,7
4/28/2019,Northeastern,Massachusetts,14,13
4/28/2019,Tufts,Massachusetts,12,10
4/28/2019,Tufts,Vermont,15,6
4/28/2019,Dartmouth,Massachusetts,12,15
4/28/2019,Vermont,Harvard,15,12
4/28/2019,MIT,Dartmouth,10,15
4/28/2019,Harvard,MIT,L,W
4/28/2019,Vermont,Dartmouth,0,0
4/28/2019,MIT,Massachusetts,F,W
4/28/2019,Boston College,Massachusetts,F,W
4/28/2019,Boston College,Tufts,15,7
4/28/2019,Massachusetts,New Hampshire,15,11
4/28/2019,No Opponent,Massachusetts,0,0
4/28/2019,Tufts,New Hampshire,0,0
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Middlebury,Bentley,15,6
Sat 4/27,Bowdoin,Williams,15,6
Sat 4/27,Middlebury,Williams,14,11
Sat 4/27,Bowdoin,Bentley,15,8
Sat 4/27,Middlebury,Bowdoin,12,10
Sat 4/27,Bentley,Williams,3,15
Sat 4/27,Bryant University,Brandeis,11,7
Sat 4/27,Colby,Bates College,9,10
Sat 4/27,Bryant University,Bates College,15,7
Sat 4/27,Colby,Brandeis,15,8
Sat 4/27,Bryant University,Colby,6,10
Sat 4/27,Brandeis,Bates College,4,15
4/28/2019,Middlebury,Bryant University,15,2
4/28/2019,Bryant University,Bowdoin,5,15
4/28/2019,Bowdoin,Colby,15,8
4/28/2019,Colby,Williams,15,8
4/28/2019,Williams,Bates College,15,11
4/28/2019,Williams,Brandeis,15,10
4/28/2019,Bentley,Bates College,9,10
4/28/2019,Brandeis,Bentley,15,8
Date,Home Team,Away Team,Home Score,Away Score
Sat 5/4,Massachusetts Amherst,Northeastern,10,11
Sat 5/4,Dartmouth,Brown,10,7
Sat 5/4,Massachusetts Amherst,Brown,11,8
Sat 5/4,Dartmouth,Northeastern,9,8
Sat 5/4,Massachusetts Amherst,Dartmouth,11,8
Sat 5/4,Northeastern,Brown,12,9
5/4/2019,Massachusetts Amherst,Northeastern,12,10
5/4/2019,Brown,Dartmouth,13,7
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Michigan Tech,St Olaf,12,9
Sat 4/27,Winona State,St John,11,10
Sat 4/27,St Olaf,St,13,10
Sat 4/27,Michigan Tech,St John,13,7
Sat 4/27,Michigan Tech,Winona State,13,7
Sat 4/27,St John,St,10,13
Sat 4/27,Winona State,St,13,11
Sat 4/27,St Olaf,St John,13,2
Sat 4/27,Michigan Tech,St,13,7
Sat 4/27,St Olaf,Winona State,11,13
Sat 4/27,Macalester,Wisconsin,13,8
Sat 4/27,Carleton College,Luther,11,4
Sat 4/27,Carleton College,Wisconsin,12,8
Sat 4/27,Luther,Carleton Hot,13,4
Sat 4/27,Wisconsin,Carleton Hot,13,8
Sat 4/27,Carleton College,Macalester,13,7
Sat 4/27,Macalester,Carleton Hot,13,6
Sat 4/27,Luther,Wisconsin,13,5
Sat 4/27,Luther,Macalester,13,10
Sat 4/27,Carleton College,Carleton Hot,13,1
4/28/2019,Michigan Tech,Carleton College,7,13
4/28/2019,Michigan Tech,Luther,14,10
4/28/2019,Winona State,Carleton College,7,15
4/28/2019,Michigan Tech,Luther,F,F
4/28/2019,Luther,Macalester,15,7
4/28/2019,Luther,St Olaf,13,7
4/28/2019,Macalester,Winona State,13,11
4/28/2019,St Olaf,Wisconsin,15,13
4/28/2019,St,Macalester,11,15
4/28/2019,Wisconsin,St,15,14
4/28/2019,St Olaf,Winona State,7,6
4/28/2019,St John,Carleton Hot,10,11
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Washington,British Columbia,11,9
Sat 4/27,Victoria,Utah,9,8
Sat 4/27,Montana,Idaho,13,4
Sat 4/27,Washington,Victoria,13,8
Sat 4/27,British Columbia,Montana,9,11
Sat 4/27,Utah,Idaho,13,2
Sat 4/27,Washington,Montana,13,2
Sat 4/27,Victoria,Idaho,13,5
Sat 4/27,British Columbia,Utah,9,10
Sat 4/27,Washington,Idaho,13,6
Sat 4/27,Victoria,British Columbia,13,8
Sat 4/27,Montana,Utah,5,13
Sun 4/28,Victoria,Montana,13,9
Sun 4/28,British Columbia,Idaho,13,4
Sun 4/28,Washington,Utah,13,9
Sat 4/27,Oregon,Oregon State,13,6
Sat 4/27,Whitman,Montana State,9,8
Sat 4/27,Utah State,Boise State,13,6
Sat 4/27,Oregon,Whitman,13,6
Sat 4/27,Oregon State,Utah State,13,11
Sat 4/27,Montana State,Boise State,13,3
Sat 4/27,Oregon,Utah State,13,9
Sat 4/27,Whitman,Boise State,13,3
Sat 4/27,Oregon State,Montana State,9,10
Sat 4/27,Oregon,Boise State,13,1
Sat 4/27,Whitman,Oregon State,8,13
Sat 4/27,Utah State,Montana State,6,13
Sun 4/28,Oregon,Montana State,13,9
Sun 4/28,Whitman,Utah State,13,9
Sun 4/28,Oregon State,Boise State,13,4
4/28/2019,Washington,Oregon,13,14
4/28/2019,Washington,Oregon State,14,10
4/28/2019,Victoria,Oregon,5,15
4/28/2019,Utah,Victoria,7,14
4/28/2019,Oregon State,Utah,11,14
4/28/2019,Montana,Victoria,8,14
4/28/2019,Utah,Whitman,12,11
4/28/2019,Montana,Montana State,12,10
4/28/2019,Whitman,Montana State,F,F
4/28/2019,Oregon State,Montana,F,F
4/28/2019,Montana State,British Columbia,0,0
4/28/2019,British Columbia,Utah State,15,8
4/28/2019,British Columbia,Boise State,W,L
4/28/2019,Idaho,Utah State,12,15
4/28/2019,Idaho,Utah State,W,F
4/28/2019,Boise State,Idaho,14,15
Date,Home Team,Away Team,Home Score,Away Score
5/4/2019,Pittsburgh,Ohio State,13,14
4/28/2019,Pittsburgh,Carnegie Mellon,15,6
4/28/2019,Ohio,Ohio State,1,15
4/28/2019,Pittsburgh,Villanova,15,3
4/28/2019,Carnegie Mellon,Drexel,13,5
4/28/2019,Ohio,Temple,14,13
4/28/2019,Cincinnati,Ohio State,8,15
4/28/2019,Pittsburgh,Miami,15,2
4/28/2019,Villanova,Case Western,14,13
4/28/2019,Carnegie Mellon,Dayton,14,8
4/28/2019,Drexel,Penn State,15,14
4/28/2019,Ohio,Lehigh,15,10
4/28/2019,Pittsburgh,Temple,7,14
4/28/2019,Cincinnati,Pennsylvania,12,11
4/28/2019,West Chester,Ohio State,5,15
5/4/2019,Pittsburgh,Carnegie Mellon,15,9
5/4/2019,Carnegie Mellon,Ohio,14,7
5/4/2019,Carnegie Mellon,Penn State,12,11
5/4/2019,Villanova,Ohio,F,W
4/28/2019,Case Western,Penn State,11,13
4/28/2019,Lehigh,Villanova,11,15
4/28/2019,Cincinnati,Case Western,9,15
4/28/2019,Temple,Penn State,9,11
4/28/2019,Drexel,Lehigh,8,15
4/28/2019,Villanova,West Chester,W,L
4/28/2019,Miami,Case Western,F,W
4/28/2019,Dayton,Penn State,7,15
4/28/2019,Lehigh,Pittsburgh,15,10
4/28/2019,Pennsylvania,West Chester,6,12
4/28/2019,Cincinnati,Temple,11,5
4/28/2019,Drexel,West Chester,11,6
4/28/2019,Dayton,Pennsylvania,F,W
4/28/2019,Miami,Dayton,F,W
4/28/2019,Pittsburgh,Pennsylvania,8,11
4/28/2019,Miami,Pittsburgh,0,W
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Muhlenberg,Lehigh,11,2
Sat 4/27,Messiah,Lehigh,12,2
Sat 4/27,Messiah,Muhlenberg,10,8
Sat 4/27,Xavier,Wooster,10,5
Sat 4/27,Oberlin,Wooster,10,5
Sat 4/27,Oberlin,Xavier,9,8
Sat 4/27,Swarthmore,Grove City,9,8
Sat 4/27,Franciscan,Grove City,13,7
Sat 4/27,Franciscan,Swarthmore,13,1
Sat 4/27,Shippensburg,Haverford,3,11
Sat 4/27,Cedarville,Haverford,6,5
Sat 4/27,Cedarville,Shippensburg,10,9
4/28/2019,Cedarville,Franciscan,12,15
4/28/2019,Xavier,Grove City,15,10
4/27/2019,Swarthmore,Wooster,15,12
4/28/2019,Lehigh,Haverford,3,15
4/28/2019,Shippensburg,Muhlenberg,15,13
4/28/2019,Messiah,Xavier,14,10
4/28/2019,Swarthmore,Cedarville,6,15
