Id,Label,timeset,division,region
Muhlenberg,Muhlenberg,,,Ohio Valley
Lehigh B,Lehigh B,,Division III,Ohio Valley
Messiah,Messiah,,Division III,Ohio Valley
Xavier,Xavier,,Division III,Ohio Valley
Wooster,Wooster,,Division III,Ohio Valley
Oberlin,Oberlin,,Division III,Ohio Valley
Swarthmore,Swarthmore,,Division III,Ohio Valley
Grove City,Grove City,,,Ohio Valley
Franciscan,Franciscan,,Division III,Ohio Valley
Haverford,Haverford,,Division III,Ohio Valley
Shippensburg,Shippensburg,,Division III,Ohio Valley
Cedarville,Cedarville,,Division III,Ohio Valley
Colorado,Colorado,,Division I,South Central
Texas,Texas,,Division I,South Central
Texas-Dallas,Texas-Dallas,,Division I,South Central
Colorado State,Colorado State,,Division I,South Central
Texas A&M,Texas A&M,,Division I,South Central
Texas Tech,Texas Tech,,Division I,South Central
Oklahoma,Oklahoma,,Division I,South Central
Oklahoma State,Oklahoma State,,Division I,South Central
Colorado B,Colorado B,,Division I,South Central
Texas State,Texas State,,Division I,South Central
Baylor,Baylor,,Division I,South Central
Saint Louis,Saint Louis,,Division I,South Central
Arkansas,Arkansas,,Division I,South Central
Kansas,Kansas,,Division I,South Central
Washington University,Washington University,,Division I,South Central
Kansas State,Kansas State,,Division I,South Central
John Brown,John Brown,,Division III,South Central
Rice,Rice,,Division III,South Central
Colorado School of Mines,Colorado School of Mines,,Division III,South Central
Trinity,Trinity,,Division III,South Central
Air Force,Air Force,,Division III,South Central
Truman State,Truman State,,Division III,South Central
Missouri S&T,Missouri S&T,,Division III,South Central
Colorado College,Colorado College,,Division III,South Central
Central Florida,Central Florida,,Division I,Southeast
Georgia Tech,Georgia Tech,,Division I,Southeast
Kennesaw State,Kennesaw State,,Division I,Southeast
Emory,Emory,,Division I,Southeast
Georgia,Georgia,,Division I,Southeast
Tulane,Tulane,,Division I,Southeast
Tennessee,Tennessee,,Division I,Southeast
Tennessee-Chattanooga,Tennessee-Chattanooga,,Division I,Southeast
Auburn,Auburn,,Division I,Southeast
Alabama-Huntsville,Alabama-Huntsville,,Division I,Southeast
Florida State,Florida State,,Division I,Southeast
South Florida,South Florida,,Division I,Southeast
Alabama,Alabama,,Division I,Southeast
Florida,Florida,,Division I,Southeast
LSU,LSU,,Division I,Southeast
Alabama-Birmingham,Alabama-Birmingham,,Division I,Southeast
Berry,Berry,,Division III,Southeast
North Georgia,North Georgia,,Division III,Southeast
Belmont,Belmont,,,Southeast
Stetson,Stetson,,Division III,Southeast
Samford,Samford,,Division III,Southeast
Embry-Riddle Florida,Embry-Riddle Florida,,,Southeast
Florida Tech,Florida Tech,,Division III,Southeast
Union Tennessee,Union Tennessee,,,Southeast
Cal Poly-SLO,Cal Poly-SLO,,Division I,Southwest
California-Santa Cruz,California-Santa Cruz,,Division I,Southwest
California-Davis,California-Davis,,Division I,Southwest
Las Positas,Las Positas,,,Southwest
Stanford,Stanford,,Division I,Southwest
Southern California,Southern California,,Division I,Southwest
Arizona,Arizona,,Division I,Southwest
Humboldt State,Humboldt State,,Division I,Southwest
California,California,,Division I,Southwest
