4/13/2019,Michigan,Grand Valley,15,6
4/13/2019,Michigan,Western Michigan,15,0
4/13/2019,Grand Valley,Michigan State,15,10
4/13/2019,Grand Valley,Michigan State,15,12
4/13/2019,Western Michigan,Michigan State,1,15
